Nombre_Concello,Longitud,Latitud
Carballeda de Avia,-8.18847832615903,42.32902236529
Coirós,-8.13814048182089,43.2418258457932
Cedeira,-8.0049783861193,43.6735876279707
Porto do Son,-8.98898959345483,42.6855273534019
Agolada,-8.03320762079076,42.7881244786716
"Vicedo, O",-7.67126576266762,43.6827434709152
Tordoia,-8.56053264797577,43.0881034114706
Zas,-8.92545534109765,43.0908492602752
Ourol,-7.6422560776178,43.5604497782619
Gomesende,-8.09834857845343,42.1889018818893
Cariño,-7.90125855243957,43.7264112854155
"Lama, A",-8.38744452048462,42.4119331962793
Laza,-7.45398166512067,42.0998164791973
Muxía,-9.19306258108046,43.0578375599514
Vila de Cruces,-8.22015747380671,42.7985414238835
Laxe,-9.01920530946287,43.1876443234788
Meaño,-8.78457778905684,42.4498666807585
